Term	UnitsName	UnitsTypeCV	UnitsAbbreviation	UnitsLink	limnoflag	unitabbv
maxwell	Maxwell	Magnetic flux	Mx	http://qudt.org/vocab/unit#Maxwell; http://unitsofmeasure.org/ucum.html#para-33; http://www.unidata.ucar.edu/software/udunits/	NA	mx
unitPole	Unit Pole	Magnetic flux	U/nWb	http://qudt.org/vocab/unit#UnitPole; http://www.unidata.ucar.edu/software/udunits/	NA	upnwb
weber	Weber	Magnetic flux	Wb	http://qudt.org/vocab/unit#Weber; http://unitsofmeasure.org/ucum.html#para-30; http://www.unidata.ucar.edu/software/udunits/	NA	wb
abtesla	Abtesla	Magnetic flux density		http://qudt.org/vocab/unit#Abtesla	NA	
gamma	Gamma	Magnetic flux density	gamma	http://qudt.org/vocab/unit#Gamma	NA	gamma
gauss	Gauss	Magnetic flux density	G	http://qudt.org/vocab/unit#Gauss; http://unitsofmeasure.org/ucum.html#para-33	NA	g
tesla	Tesla	Magnetic flux density	T	http://qudt.org/vocab/unit#Tesla; http://unitsofmeasure.org/ucum.html#para-30; http://www.unidata.ucar.edu/software/udunits/	NA	t
teslaMeter	Tesla Meter	Magnetic flux per length	m T	http://qudt.org/vocab/unit#TeslaMeter	NA	mt
henryPerMeter	Henry per Meter	Magnetic permeability	H/m	http://qudt.org/vocab/unit#HenryPerMeter	NA	hpm
stathenryPerCentimeter	Stathenry per Centimeter	Magnetic permeability		http://qudt.org/vocab/unit#StathenryPerCentimeter	NA	
ampereTurn	Ampere Turn	Magnetomotive force	At	http://qudt.org/vocab/unit#AmpereTurn	NA	at
gilbert	Gilbert	Magnetomotive force	Gi; Gb	http://qudt.org/vocab/unit#Gilbert; http://unitsofmeasure.org/ucum.html#para-33	NA	gi;gb
oerstedCentimeter	Oersted Centimeter	Magnetomotive force	Oe-cm	http://qudt.org/vocab/unit#OerstedCentimeter	NA	oecm
ounce,UsApothecary	Ounce, US Apothecary	Mass	oz_ap	http://unitsofmeasure.org/ucum.html#para-41; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml	NA	ozap
pennyweight	Pennyweight	Mass	pwt_tr	http://qudt.org/vocab/unit#PennyWeight; http://unitsofmeasure.org/ucum.html#para-40; http://www.unidata.ucar.edu/software/udunits/	NA	pwttr
picogram	Picogram	Mass	pg	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	pg
planckMass	Planck Mass	Mass		http://qudt.org/vocab/unit#PlanckMass	NA	
pound	Pound	Mass	lb_av	http://unitsofmeasure.org/ucum.html#para-39; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml; http://qudt.org/vocab/unit#PoundMass; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	lbav
pound,Troy	Pound, Troy	Mass	lb_tr	http://qudt.org/vocab/unit#PoundTroy; http://unitsofmeasure.org/ucum.html#para-40; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml	NA	lbtr
pound,UsApothecary	Pound, US Apothecary	Mass	lb_ap	http://unitsofmeasure.org/ucum.html#para-41; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml	NA	lbap
scruple	Scruple	Mass	sc_ap	http://unitsofmeasure.org/ucum.html#para-41; http://www.unidata.ucar.edu/software/udunits/	NA	scap
shortHundredweight	Short Hundredweight	Mass	scwt_av	http://unitsofmeasure.org/ucum.html#para-39; http://www.unidata.ucar.edu/software/udunits/	NA	scwtav
shortTon	Short Ton	Mass	ston_av	http://unitsofmeasure.org/ucum.html#para-39; http://www.unidata.ucar.edu/software/udunits/; http://qudt.org/vocab/unit#TonShort	NA	stonav
slug	Slug	Mass	slug	http://qudt.org/vocab/unit#Slug; http://www.unidata.ucar.edu/software/udunits/	NA	slug
stone	Stone	Mass	stone_av	http://unitsofmeasure.org/ucum.html#para-39	NA	stoneav
tonne	Tonne	Mass	t	http://unitsofmeasure.org/ucum.html#para-31; http://qudt.org/vocab/unit#TonMetric; http://qudt.org/vocab/unit#MetricTon; http://www.unidata.ucar.edu/software/udunits/	NA	t
unifiedAtomicMassUnit	Unified Atomic Mass Unit	Mass	u	http://qudt.org/vocab/unit#UnifiedAtomicMassUnit; http://unitsofmeasure.org/ucum.html#para-31; http://www.unidata.ucar.edu/software/udunits/	NA	u
assayTon	Assay Ton	Mass	AT	http://qudt.org/vocab/unit#TonAssay; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml	NA	at
atomicMassUnit	Atomic Mass Unit	Mass	amu	http://qudt.org/vocab/unit#AtomicMassUnit	NA	amu
bag	Bag	Mass		https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml	NA	
carat	Carat	Mass	car_m	http://qudt.org/vocab/unit#Carat, http://unitsofmeasure.org/ucum.html#para-47	NA	carm
dalton	Dalton	Mass	Da	http://qudt.org/vocab/unit#Dalton	NA	da
drachm	Drachm	Mass	dr_ap	http://unitsofmeasure.org/ucum.html#para-41; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml	NA	drap
dram,Avoirdupois	Dram, Avoirdupois	Mass	dr_av	http://unitsofmeasure.org/ucum.html#para-39	NA	drav
grain	Grain	Mass	gr	http://qudt.org/vocab/unit#Grain; http://unitsofmeasure.org/ucum.html#para-39	NA	gr
gram	Gram	Mass	g	http://qudt.org/vocab/unit#Gram; http://unitsofmeasure.org/ucum.html#para-28	NA	g
kilogram	Kilogram	Mass	kg	http://qudt.org/vocab/unit#Kilogram; http://www.unidata.ucar.edu/software/udunits/	1	kg
longHundredweight	Long Hundredweight	Mass	lcwt_av	http://unitsofmeasure.org/ucum.html#para-39; http://www.unidata.ucar.edu/software/udunits/; http://qudt.org/vocab/unit#HundredWeightLong	NA	lcwtav
longTon	Long Ton	Mass	lton_av	http://unitsofmeasure.org/ucum.html#para-39; http://www.unidata.ucar.edu/software/udunits/; http://qudt.org/vocab/unit#TonLong	NA	ltonav
metricTon	Metric Ton	Mass	mT	http://qudt.org/vocab/unit#MetricTon; http://www.unidata.ucar.edu/software/udunits/	NA	mt
microgram	Microgram	Mass	µg	http://environment.data.gov.au/def/unit/Microgram; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	1	µg
milligram	Milligram	Mass	mg	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	1	mg
nanogram	Nanogram	Mass	ng	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	ng
ounce,Avoirdupois	Ounce, Avoirdupois	Mass	oz_av	http://qudt.org/vocab/unit#OunceMass; http://unitsofmeasure.org/ucum.html#para-39; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	ozav
ounce,Metric	Ounce, Metric	Mass	oz_m	http://unitsofmeasure.org/ucum.html#para-41	NA	ozm
ounce,Troy	Ounce, Troy	Mass	oz_tr	http://qudt.org/vocab/unit#OunceTroy; http://unitsofmeasure.org/ucum.html#para-40; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml	NA	oztr
kilogramMole	Kilogram Mole	Mass count	kg-mol		NA	kgmol
poundMole	Pound Mole	Mass count	lb-mol	http://qudt.org/vocab/unit#PoundMole	NA	lbmol
kilogramMoleKelvin	Kilogram Mole Kelvin	Mass count temperature	kg-mol-K		NA	kgmolk
poundMoleDegreeFahrenheit	Pound Mole Degree Fahrenheit	Mass count temperature	lb-mol-degF	http://qudt.org/vocab/unit#PoundMoleDegreeFahrenheit	NA	lbmoldegf
gramPerSquareMeterPerDay	Gram per Square Meter per Day	Mass flux	g/m2/day	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	NA	gpm2pday
gramPerSquareMeterPerHour	Gram per Square Meter per Hour	Mass flux	g/m^2 hr	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	gpm2hr
kilogramPerHectarePerDay	Kilogram per Hectare per Day	Mass flux	kg/ha d	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	kgphad
kilogramPerSquareMeterPerSecond	Kilogram per Square Meter per Second	Mass flux	kg/m^2/s	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	kgpm2ps
milligramPerSquareMeterPerDay	Milligram per Square Meter per Day	Mass flux	mg/m^2 d	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	1	mgpm2d
milligramPerSquareMeterPerSecond	Milligram per Square Meter per Second	Mass flux	mg/m^2/s	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	mgpm2ps
nanogramPerSquareMeterPerHour	Nanogram per Square Meter per Hour	Mass flux	ng/m^2 hr	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	NA	ngpm2hr
nanogramPerSquareMeterPerWeek	Nanogram per Square Meter per Week	Mass flux	ng/m^2 week	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	NA	ngpm2week
caratOfGoldAlloys	Carat of Gold Alloys	Mass fraction	car_Au	http://unitsofmeasure.org/ucum.html#para-47	NA	carau
femtogramPerKilogram	Femtogram per Kilogram	Mass fraction	fg/kg		NA	fgpkg
gramPercent	Gram percent	Mass fraction	g%	http://unitsofmeasure.org/ucum.html#para-45	NA	gperc
gramPerKilogram	Gram per Kilogram	Mass fraction	g/kg	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	NA	gpkg
microgramPerGram	Microgram per Gram	Mass fraction	µg/g	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	NA	µgpg
microgramPerKilogram	Microgram per Kilogram	Mass fraction	µg/kg	http://environment.data.gov.au/def/unit/MicrogramsPerKilogram; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	NA	µgpkg
microgramPerMilligram	Microgram per Milligram	Mass fraction	µg/mg	http://qwwebservices.usgs.gov/service-domains.html	NA	µgpmg
milligramPerKilogram	Milligram per Kilogram	Mass fraction	mg/kg	http://environment.data.gov.au/def/unit/MilligramsPerKilogram; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	NA	mgpkg
nanogramPerGram	Nanogram per Gram	Mass fraction	ng/g	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	NA	ngpg
nanogramPerKilogram	Nanogram per Kilogram	Mass fraction	ng/kg		NA	ngpkg
percentByWeight	Percent by Weight	Mass fraction	% by wt	http://qwwebservices.usgs.gov/service-domains.html	NA	percbywt
picogramPerGram	Picogram per Gram	Mass fraction	pg/g	http://qwwebservices.usgs.gov/service-domains.html	NA	pgpg
picogramPerKilogram	Picogram per Kilogram	Mass fraction	pg/kg	http://qwwebservices.usgs.gov/service-domains.html	NA	pgpkg
tonPerKiloton	Ton per Kiloton	Mass fraction	tCaCO3/Kt	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	tcaco3pkt
nanomolePerMinutePerMilligram	Nanomole per Minute per Milligram	Mass normalized particle loading	nmol/min mg	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	nmolpminmg
picomolePerMinutePerMilligram	Picomole per Minute per Milligram	Mass normalized particle loading	pmol/min mg	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	pmolpminmg
superoxideDismutaseUnitPerMinutePerMilligram	Superoxide Dismutase Unit per Minute per Milligram	Mass normalized particle loading	U/min mg	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	upminmg
gramPer0.1SquareMeter	Gram per 0.1 Square Meter	Mass per area	g/0.1 m^2	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	gp01m2
gramPerSquareMeter	Gram per Square Meter	Mass per area	g/m2	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	NA	gpm2
kilogramPer1000SquareMeter	Kilogram per 1000 Square Meter	Mass per area	kg/1000 m^2	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	kgp1000m2
kilogramPerHectare	Kilogram per Hectare	Mass per area	kg/ha	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://environment.data.gov.au/def/unit/KilogramsPerHectare	NA	kgpha
kilogramPerSquareMeter	Kilogram per Square Meter	Mass per area	kg/m^2	http://qudt.org/vocab/unit#KilogramPerSquareMeter; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	kgpm2
microgramPerSquareMeter	Microgram per Square Meter	Mass per area	µg/m^2	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	NA	µgpm2
milligramPerSquareMeter	Milligram per Square Meter	Mass per area	mg/m^2	http://environment.data.gov.au/def/unit/MilligramsPerSquareMeter; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	NA	mgpm2
ouncePerSquareFoot	Ounce per Square Foot	Mass per area	oz/ft^2	http://qudt.org/vocab/unit#OuncePerSquareFoot	NA	ozpft2
ouncePerSquareYard	Ounce per Square Yard	Mass per area	oz/yd^2	http://qudt.org/vocab/unit#OuncePerSquareYard	NA	ozpyd2
poundPerSquareFoot	Pound per Square Foot	Mass per area	lb/ft^2	http://qudt.org/vocab/unit#PoundPerSquareFoot	NA	lbpft2
slugPerSquareFoot	Slug per Square Foot	Mass per area	slug/ft^2	http://qudt.org/vocab/unit#SlugPerSquareFoot	NA	slugpft2
tonnesPerHectare	Tonnes per Hectare	Mass per area	t/ha	http://environment.data.gov.au/def/unit/TonnesPerHectare	NA	tpha
teslaSecond	Tesla Second	Mass per electrical charge	s T	http://qudt.org/vocab/unit#TeslaSecond	NA	st
denier	Denier	Mass per length	den	http://qudt.org/vocab/unit#Denier	NA	den
kilogramPerMeter	Kilogram per Meter	Mass per length	kg/m	http://qudt.org/vocab/unit#KilogramPerMeter	NA	kgpm
poundPerFoot	Pound per Foot	Mass per length	lb/ft	http://qudt.org/vocab/unit#PoundPerFoot	NA	lbpft
poundPerInch	Pound per Inch	Mass per length	lb/in	http://qudt.org/vocab/unit#PoundPerInch	NA	lbpin
poundPerMile	Pound per Mile	Mass per length	lb/mi	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	lbpmi
slugPerFoot	Slug per Foot	Mass per length	slug/ft	http://qudt.org/vocab/unit#SlugPerFoot	NA	slugpft
tex	Tex	Mass per length	tex	http://qudt.org/vocab/unit#Tex; http://unitsofmeasure.org/ucum.html#para-43; http://www.unidata.ucar.edu/software/udunits/	NA	tex
gramPerDay	Gram per Day	Mass per time	g/d	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	NA	gpd
gramPerMinute	Gram per Minute	Mass per time	g/min	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	gpmin
gramPerSecond	Gram per Second	Mass per time	g/s	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	gps
kilogramPerHour	Kilogram per Hour	Mass per time	kg/h	http://qudt.org/vocab/unit#KilogramPerHour	NA	kgph
kilogramPerMonth	Kilogram per Month	Mass per time	kg/month	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	kgpmonth
kilogramPerSecond	Kilogram per Second	Mass per time	kg/s	http://qudt.org/vocab/unit#KilogramPerSecond	NA	kgps
metricTonPerDay	Metric ton per day	Mass per time	tonne/day		NA	tonnepday
metricTonPerSecond	Metric ton per Second	Mass per time	tonne/s		NA	tonneps
milligramPerDay	Milligram per Day	Mass per time	mg/d	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	NA	mgpd
poundPerDay	Pound per Day	Mass per time	lb/d	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	NA	lbpd
poundPerHour	Pound per Hour	Mass per time	lb/hr	http://qudt.org/vocab/unit#PoundPerHour	NA	lbphr
poundPerMinute	Pound per Minute	Mass per time	lb/min	http://qudt.org/vocab/unit#PoundPerMinute	NA	lbpmin
shortTonPerDay	Short Ton per Day	Mass per time	ton/d	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	NA	tonpd
shortTonPerHour	Short Ton per Hour	Mass per time	ton/hr	http://qudt.org/vocab/unit#TonShortPerHour	NA	tonphr
shortTonPerMonth	Short Ton per Month	Mass per time	ton/month	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	tonpmonth
slugPerSecond	Slug per Second	Mass per time	slug/s	http://qudt.org/vocab/unit#SlugPerSecond	NA	slugps
gramDegreeCelsius	Gram Degree Celsius	Mass temperature	g-degC	http://qudt.org/vocab/unit#GramDegreeCelsius	NA	gdegc
kilogramKelvin	Kilogram Kelvin	Mass temperature	kg-K	http://qudt.org/vocab/unit#KilogramKelvin	NA	kgk
poundDegreeFahrenheit	Pound Degree Fahrenheit	Mass temperature	lb-degF	http://qudt.org/vocab/unit#PoundDegreeFahrenheit	NA	lbdegf
poundDegreeRankine	Pound Degree Rankine	Mass temperature	lb-degR	http://qudt.org/vocab/unit#PoundDegreeRankine	NA	lbdegr
jouleSecondPerMole	Joule Second per Mole	Molar angular momentum	J s mol^-1	http://qudt.org/vocab/unit#JouleSecondPerMole	NA	jsmol1
siemensSquareMeterPerMole	Siemens Square Meter per Mole	Molar conductivity	Sm^2/mol		NA	sm2pmol
btuPerPoundMole	BTU per Pound Mole	Molar energy	Btu/(lb-mol)	http://qudt.org/vocab/unit#BtuPerPoundMole	NA	btuplbmol
joulePerMole	Joule per Mole	Molar energy	J/mol	http://qudt.org/vocab/unit#JoulePerMole	NA	jpmol
kilocaloriePerMole	Kilocalorie per Mole	Molar energy	kcal/mol	http://qudt.org/vocab/unit#KilocaloriePerMole	NA	kcalpmol
btuPerPoundMoleDegreeFahrenheit	Btu per Pound Mole Degree Fahrenheit	Molar heat capacity	Btu/(lb-mol-degF)	http://qudt.org/vocab/unit#BtuPerPoundMoleDegreeFahrenheit	NA	btuplbmoldegf
joulePerMoleKelvin	Joule per Mole Kelvin	Molar heat capacity	J/(mol-K)	http://qudt.org/vocab/unit#JoulePerMoleKelvin	NA	jpmolk
kilocaloriePerMoleDegreeCelsius	Kilocalorie per Mole Degree Celsius	Molar heat capacity	kcal/(mol-degC)	http://qudt.org/vocab/unit#KilocaloriePerMoleDegreeCelsius	NA	kcalpmoldegc
kilogramPerMole	Kilogram per Mole	Molar mass	kg mol^-1	http://qudt.org/vocab/unit#KilogramPerMole	NA	kgmol1
cubicMeterPerMole	Cubic Meter per Mole	Molar volume	m^3 mol^-1	http://qudt.org/vocab/unit#CubicMeterPerMole	NA	m3mol1
degreeCelsiusMillimolePerCubicMeter	Degree Celsius Millimole per Cubic Meter	Other	DegC mmol/m^3	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	degcmmolpm3
kilogramSecondSquared	Kilogram Second Squared	Other		http://qudt.org/vocab/unit#KilogramSecondSquared	NA	
meterPerSecondDegreeCelsius	Meter per Second Degree Celsius	Other	m/s DegC	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	mpsdegc
micromolePerLiterPerHour	Micromole per Liter per Hour	Other	µmol/L hr	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	µmolplhr
milligramPerCubicMeterSquared	Milligram per Cubic Meter Squared	Other	(mg/m^3)^2	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	mgpm32
milliliterPerLiterPerHour	Milliliter per Liter per Hour	Other	mL/L/hr	http://qwwebservices.usgs.gov/service-domains.html	NA	mlplphr
millimolePerCubicMeterSquared	Millimole per Cubic Meter Squared	Other	(mmol/m^3)^2	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	mmolpm32
shortTonPerDayPerFoot	Short Ton per Day per Foot	Other	ton/d/ft	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	NA	tonpdpft
squaredDegreeCelsius	Squared Degree Celsius	Other	(DegC)^2	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	degc2
microeinsteinPerSquareMeterPerDay	Microeinstein per Square Meter per Day	Particle flux	uE/m^2 d	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	1	uepm2d
microeinsteinPerSquareMeterPerSecond	Microeinstein per Square Meter per Second	Particle flux	uE/m^2 s	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	1	uepm2s
micromolePerSquareMeterPerSecond	Micromole per Square Meter per Second	Particle flux	µmol/m^2 s	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://environment.data.gov.au/def/unit/MicroMolPerSecondPerMetreSquared; http://qwwebservices.usgs.gov/service-domains.html	1	µmolpm2s
millimolePerSquareMeterPerDay	Millimole per Square Meter per Day	Particle flux	mmol/m^2 d	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	1	mmolpm2d
millimolePerSquareMeterPerHour	Millimole per Square Meter per Hour	Particle flux	mmol/m^2 hr	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	1	mmolpm2hr
millimolePerSquareMeterPerSecond	Millimole per Square Meter per Second	Particle flux	mmol/m^2 s	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	1	mmolpm2s
ph	pH	pH	pH	"http://environment.data.gov.au/def/unit/pH"";""http://environment.data.gov.au/def/unit/pH; http://unitsofmeasure.org/ucum.html#para-45"	1	ph
squareCoulombMeterPerJoule	Square Coulomb Meter per Joule	Polarizability	C^2 m^2 J^-1	http://qudt.org/vocab/unit#SquareCoulombMeterPerJoule	NA	c2m2j1
potentialVorticityUnit	Potential Vorticity Unit	Potential vorticity		http://www.unidata.ucar.edu/software/udunits/	NA	
btuPerHour	Btu per Hour	Power	Btu/hr	http://qudt.org/vocab/unit#BtuPerHour	NA	btuphr
btuPerSecond	Btu per Second	Power	Btu/s	http://qudt.org/vocab/unit#BtuPerSecond	NA	btups
ergPerSecond	Erg per Second	Power	erg/s	http://qudt.org/vocab/unit#ErgPerSecond	NA	ergps
footPoundForcePerHour	Foot Pound Force per Hour	Power	ft-lbf/hr	http://qudt.org/vocab/unit#FootPoundForcePerHour	NA	ftlbfphr
footPoundForcePerMinute	Foot Pound Force per Minute	Power	ft-lbf/min	http://qudt.org/vocab/unit#FootPoundForcePerMinute	NA	ftlbfpmin
footPoundForcePerSecond	Foot Pound Force per Second	Power	ft-lbf/s	http://qudt.org/vocab/unit#FootPoundForcePerSecond	NA	ftlbfps
gigawatt	Gigawatt	Power	GW		NA	gw
horsepower	Horsepower	Power	HP	http://qudt.org/vocab/unit#Horsepower; http://unitsofmeasure.org/ucum.html#para-43; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml	NA	hp
horsepower,Boiler	Horsepower, Boiler	Power	hp/boiler	http://qudt.org/vocab/unit#HorsepowerBoiler; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml	NA	hppboiler
horsepower,British	Horsepower, British	Power		http://www.unidata.ucar.edu/software/udunits/	NA	
horsepower,Electric	Horsepower, Electric	Power	hp/V	http://qudt.org/vocab/unit#HorsepowerElectric; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml	NA	hppv
horsepower,Imperial	Horsepower, Imperial	Power	HP	http://unitsofmeasure.org/ucum.html#para-43	NA	hp
horsepower,Metric	Horsepower, Metric	Power	hp/m	http://qudt.org/vocab/unit#HorsepowerMetric; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml	NA	hppm
horsepower,Water	Horsepower, Water	Power	hp/H2O	http://qudt.org/vocab/unit#HorsepowerWater; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml	NA	hpph2o
kilocaloriePerMinute	Kilocalorie per Minute	Power	kcal/min	http://qudt.org/vocab/unit#KilocaloriePerMinute	NA	kcalpmin
kilocaloriePerSecond	Kilocalorie per Second	Power	kcal/s	http://qudt.org/vocab/unit#KilocaloriePerSecond	NA	kcalps
kilovolt-Ampere	Kilovolt-ampere	Power	kVA		NA	kva
kilowatt	Kilowatt	Power	kW	http://qudt.org/vocab/unit#Kilowatt; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	kw
megavolt-Ampere	Megavolt-ampere	Power	MVA		NA	mva
megawatt	Megawatt	Power	MW		NA	mw
planckPower	Planck Power	Power		http://qudt.org/vocab/unit#PlanckPower	NA	
tonOfRefrigeration	Ton of Refrigeration	Power	t/fg	http://qudt.org/vocab/unit#TonOfRefrigeration; http://www.unidata.ucar.edu/software/udunits/	NA	tpfg
volt-Ampere	Volt-ampere	Power	VA	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://www.unidata.ucar.edu/software/udunits/	NA	va
watt	Watt	Power	W	http://qudt.org/vocab/unit#Watt; http://unitsofmeasure.org/ucum.html#para-30;http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://www.unidata.ucar.edu/software/udunits/	NA	w
wattSquareMeter	Watt Square Meter	Power area	W m^2	http://qudt.org/vocab/unit#WattSquareMeter	NA	wm2
wattSquareMeterPerSteradian	Watt Square Meter per Steradian	Power area per solid angle	W m^2 sr^-1	http://qudt.org/vocab/unit#WattSquareMeterPerSteradian	NA	wm2sr1
btuPerHourSquareFoot	Btu per Hour Square Foot	Power per area		http://qudt.org/vocab/unit#BtuPerHourSquareFoot	NA	
btuPerSecondSquareFoot	Btu per Second Square Foot	Power per area	Btu/(s-ft^2)	http://qudt.org/vocab/unit#BtuPerSecondSquareFoot	NA	btupsft2
